,Date,county Name,Distance,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,AQI,Category
826,3/28/19,Westchester,2.01,0:14:53,174,186,7:25,5:34,1.25,00:03.0,3,0:14:44,0:14:53,41,Good
224,3/24/21,Middlesex,0.51,03:34.2,186,192,6:56,6:31,1.25,03:34.2,1,0:03:34,03:34.2,,
101,6/11/21,Middlesex,3.28,0:22:36,188,200,6:53,4:31,1.25,01:35.2,4,0:22:35,0:22:36,,
177,5/4/21,Westchester,0.52,03:30.8,190,194,6:47,6:06,1.25,03:30.8,1,03:30.8,03:30.8,38,
1069,9/30/18,Westchester,3.44,0:26:04,172,180,7:35,6:27,1.24,00:00.0,4,0:26:04,0:26:04,13,Good
977,12/5/18,Westchester,0.77,05:44.5,174,190,7:27,5:27,1.24,00:00.0,1,0:05:41,05:44.5,30,Good
84,6/23/21,Middlesex,1.05,07:07.7,192,198,6:47,6:15,1.24,00:19.9,2,07:07.7,07:07.7,,
976,12/5/18,Westchester,1.86,0:14:00,174,190,7:33,5:58,1.23,00:00.0,2,0:14:00,0:14:26,30,Good
927,1/5/19,Westchester,3.09,0:23:10,174,190,7:30,5:20,1.23,00:00.0,4,0:23:10,0:23:10,37,Good
539,9/12/20,Middlesex,0.21,01:29.6,186,190,7:04,5:22,1.23,01:29.6,1,0:01:29,01:29.6,32,Good
166,5/12/21,Westchester,0.5,03:26.8,192,200,6:50,5:45,1.23,03:26.8,1,0:03:26,04:58.1,34,
1121,8/13/18,Westchester,3.85,0:30:05,168,192,7:49,4:20,1.22,00:00.0,4,0:30:05,0:30:05,22,Good
1147,6/30/18,Westchester,3.01,0:23:24,170,178,7:47,4:54,1.22,00:00.0,4,0:23:24,0:23:24,105,Unhealthy for Sensitive Groups
225,3/24/21,Middlesex,0.53,03:43.6,186,192,7:06,6:27,1.22,03:43.6,1,03:43.6,03:43.6,,
197,4/6/21,Middlesex,0.52,03:32.1,194,200,6:48,6:21,1.22,03:32.1,1,0:03:32,03:32.1,35,
198,4/6/21,Middlesex,0.52,03:32.7,194,198,6:48,6:20,1.22,03:32.7,1,03:32.7,03:32.7,35,
1152,6/9/18,Westchester,3.19,0:25:11,168,176,7:54,5:50,1.21,00:00.0,4,0:25:11,0:25:11,44,Good
1064,10/4/18,Westchester,2.61,0:20:15,172,176,7:46,6:49,1.21,00:00.0,3,0:20:15,0:20:15,29,Good
1010,11/20/18,Westchester,3.16,0:24:19,174,184,7:41,5:41,1.21,00:00.0,4,0:24:19,0:24:22,27,Good
617,10/17/19,Middlesex,7.01,0:53:45,174,182,7:40,6:50,1.21,00:01.1,8,0:53:44,0:53:45,32,Good
1101,8/28/18,Westchester,0.79,06:01.7,174,190,7:39,5:44,1.21,00:00.0,2,0:06:02,06:01.7,71,Moderate
497,10/1/20,Middlesex,2.08,0:15:06,184,192,7:15,6:44,1.21,00:35.3,3,0:15:05,0:15:06,36,Good
