Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,11/11/20 18:41,FALSE,Waltham Running,0.51,48,05:32.1,170,188,10:49,10:12,--,--,0.87,0,0,0,0,0,0:00,0,0:00,No,05:32.1,1,0,0:05:32,05:32.1,39,45
Running,4/14/21 18:33,FALSE,Waltham Running,0.78,74,08:25.2,174,190,10:48,9:58,--,--,0.86,0,0,0,0,0,0:00,0,0:00,No,08:25.2,1,0,0:08:25,08:25.2,39,45
Running,1/2/19 15:31,FALSE,Ossining Running,1.68,145,0:18:04,168,184,10:47,8:14,28,24,0.89,0,0,0,0,0,0:00,0,0:00,No,00:00.0,2,0,0:18:04,0:18:04,207,249
Running,7/23/21 7:36,FALSE,Waltham Running,1.5,163,0:16:09,172,176,10:46,9:58,--,--,0.87,0,0,0,0,0,0:00,0,0:00,No,05:29.9,2,0,0:16:08,0:16:09,39,46
Running,8/8/21 6:56,FALSE,Running,1.02,110,0:10:58,168,172,10:43,9:32,--,--,0.89,0,0,0,0,0,0:00,0,0:00,No,00:12.6,2,0,0:10:57,0:10:58,--,--
Running,6/19/21 9:08,FALSE,Waltham Running,0.52,53,05:34.4,174,180,10:43,4:52,--,7,0.86,0,0,0,0,0,0:00,0,0:00,No,05:34.4,1,0,0:05:34,05:34.4,39,47
Running,7/30/21 19:04,FALSE,Waltham Running,1.5,162,0:15:58,170,176,10:38,9:23,3,--,0.89,0,0,0,0,0,0:00,0,0:00,No,05:27.5,2,0,0:15:57,0:15:58,39,47
Running,2/2/20 20:20,FALSE,Running,1.14,105,0:12:09,174,186,10:38,7:21,--,--,0.87,0,0,0,0,0,0:00,0,0:00,No,03:31.9,2,0,0:12:09,0:13:10,--,--
Running,11/9/20 18:02,FALSE,Waltham Running,0.53,49,05:34.2,168,186,10:36,9:51,--,--,0.9,0,0,0,0,0,0:00,0,0:00,No,05:34.2,1,0,0:05:34,05:34.2,39,46
Running,12/11/20 15:09,FALSE,Ossining Running,0.5,49,05:17.3,172,178,10:36,8:26,--,12,0.88,0,0,0,0,0,0:00,0,0:00,No,05:17.3,1,0,05:17.3,05:17.3,318,330
Running,5/17/21 20:41,FALSE,Running,0.8,75,08:25.5,170,192,10:35,9:05,--,--,0.89,0,0,0,0,0,0:00,0,0:00,No,08:25.5,1,0,0:08:25,08:25.5,--,--
Running,7/29/21 6:41,FALSE,Waltham Running,1.5,162,0:15:51,170,176,10:33,9:51,6,--,0.89,0,0,0,0,0,0:00,0,0:00,No,05:04.0,2,0,0:15:51,0:16:36,39,47
Running,6/29/21 6:42,FALSE,Running,0.25,23,02:37.5,174,176,10:33,9:15,--,--,0.88,0,0,0,0,0,0:00,0,0:00,No,02:37.5,1,0,0:02:37,02:37.5,--,--
Running,8/3/21 15:26,FALSE,Ossining Running,1.75,188,0:18:26,172,180,10:32,10:07,24,23,0.89,0,0,0,0,0,0:00,0,0:00,No,07:57.4,2,0,0:18:26,0:19:59,305,318
Running,9/14/18 16:02,FALSE,Ossining Running,1.82,156,0:19:08,166,192,10:31,3:43,307,313,0.92,0,0,0,0,0,0:00,0,0:00,No,00:00.0,3,0,0:19:09,0:24:35,241,317
Running,6/11/21 7:10,FALSE,Waltham Running,0.52,49,05:27.7,174,190,10:29,9:46,--,--,0.88,0,0,0,0,0,0:00,0,0:00,No,05:27.7,1,0,05:27.7,05:27.7,39,45
Running,7/14/21 7:09,FALSE,Waltham Running,1,94,0:10:31,172,178,10:29,9:26,--,--,0.89,0,0,0,0,0,0:00,0,0:00,No,00:01.2,2,0,0:10:31,0:10:31,39,46
Running,9/17/20 19:29,FALSE,Waltham Running,0.51,47,05:22.8,172,184,10:28,9:50,--,--,0.89,0,0,0,0,0,0:00,0,0:00,No,05:22.8,1,0,0:05:22,05:22.8,39,45
Running,6/22/21 7:22,FALSE,Waltham Running,0.26,22,02:43.0,172,190,10:27,9:57,--,--,0.9,0,0,0,0,0,0:00,0,0:00,No,02:43.0,1,0,0:02:43,02:43.0,39,46
Running,7/26/21 7:29,FALSE,Waltham Running,1.5,162,0:15:38,172,184,10:25,9:55,7,--,0.9,0,0,0,0,0,0:00,0,0:00,No,05:11.6,2,0,0:15:38,0:15:55,39,46
Running,7/16/21 6:47,FALSE,Waltham Running,2,184,0:20:52,174,180,10:25,8:51,192,190,0.89,0,0,0,0,0,0:00,0,0:00,No,00:01.3,3,0,0:20:51,0:20:54,127,194
Running,6/1/21 15:46,FALSE,Waltham Running,0.25,22,02:38.1,172,192,10:23,9:52,--,--,0.9,0,0,0,0,0,0:00,0,0:00,No,02:38.1,1,0,0:02:38,02:38.1,39,45
Running,1/2/20 10:02,FALSE,Ossining Running,1.07,101,0:11:07,170,174,10:22,8:34,59,14,0.91,0,0,0,0,0,0:00,0,0:00,No,00:43.9,2,0,0:11:06,0:13:41,188,259
Running,7/9/19 20:02,FALSE,Somers Running,2.16,205,0:22:21,170,178,10:22,5:04,21,--,0.91,0,0,0,0,0,0:00,0,0:00,No,01:22.7,3,0,0:22:07,0:22:21,478,509
Running,7/18/21 8:04,FALSE,Waltham Running,1.04,94,0:10:48,172,180,10:21,9:42,--,--,0.9,0,0,0,0,0,0:00,0,0:00,No,00:24.9,2,0,0:10:48,0:10:48,39,46
Running,3/26/21 20:51,FALSE,Waltham Running,0.77,81,07:59.6,176,186,10:20,5:36,--,--,0.88,0,0,0,0,0,0:00,0,0:00,No,07:59.6,1,0,07:59.6,07:59.6,39,45
Running,11/9/18 15:57,FALSE,Ossining Running,1.26,116,0:13:03,170,180,10:20,4:16,40,35,0.92,0,0,0,0,0,0:00,0,0:00,No,00:00.0,2,0,0:13:02,0:18:17,227,270
Running,7/28/21 6:35,FALSE,Waltham Running,1.08,116,0:11:09,170,172,10:19,9:29,--,--,0.92,0,0,0,0,0,0:00,0,0:00,No,00:48.8,2,0,0:11:08,0:11:09,39,45
Running,12/5/20 15:11,FALSE,Ossining Running,0.53,49,05:25.0,170,192,10:19,5:09,--,11,0.92,0,0,0,0,0,0:00,0,0:00,No,05:25.0,1,0,05:25.0,05:25.0,307,318
Running,7/29/21 7:47,FALSE,Waltham Running,1.5,157,0:15:28,172,176,10:19,5:04,--,3,0.91,0,0,0,0,0,0:00,0,0:00,No,05:04.0,2,0,0:15:28,0:15:28,38,46
Running,7/21/21 7:49,FALSE,Waltham Running,1.5,161,0:15:27,174,178,10:18,9:41,--,5,0.9,0,0,0,0,0,0:00,0,0:00,No,05:10.1,2,0,0:15:27,0:15:27,38,46
Running,3/29/21 19:09,FALSE,Running,0.72,75,07:25.0,176,182,10:17,8:59,--,--,0.89,0,0,0,0,0,0:00,0,0:00,No,07:25.0,1,0,0:07:24,07:25.0,--,--
Running,7/16/21 6:26,FALSE,Waltham Running,1,96,0:10:16,170,178,10:14,8:59,12,--,0.93,0,0,0,0,0,0:00,0,0:00,No,00:02.2,2,0,0:10:16,0:10:16,177,208
Running,12/27/18 10:01,FALSE,Running,0.51,46,05:12.3,170,176,10:14,7:54,--,--,0.93,0,0,0,0,0,0:00,0,0:00,No,00:00.0,1,0,0:05:06,05:19.2,--,--
Running,8/29/18 10:04,FALSE,Ossining Running,3.92,356,0:40:02,170,176,10:13,7:37,76,67,0.92,0,0,0,0,0,0:00,0,0:00,No,00:00.0,7,0,0:40:02,0:40:02,365,406
Running,12/8/20 12:33,FALSE,Ossining Running,0.5,45,05:02.7,176,184,10:10,8:50,--,5,0.9,0,0,0,0,0,0:00,0,0:00,No,05:02.6,1,0,0:05:02,05:02.7,318,330
Running,7/25/21 6:35,FALSE,Waltham Running,1.04,110,0:10:30,172,174,10:08,9:39,--,--,0.92,0,0,0,0,0,0:00,0,0:00,No,00:21.7,2,0,0:10:30,0:10:30,39,45
Running,4/3/21 18:05,FALSE,Waltham Running,0.52,54,05:18.8,174,180,10:08,9:23,--,--,0.91,0,0,0,0,0,0:00,0,0:00,No,05:18.8,1,0,05:18.8,05:18.8,39,45
Running,8/27/18 9:03,FALSE,Ossining Running,3,276,0:30:27,168,180,10:08,6:47,105,101,0.95,0,0,0,0,0,0:00,0,0:00,No,00:00.0,5,0,0:29:53,0:31:37,142,256
Running,7/23/21 6:34,FALSE,Waltham Running,1.51,161,0:15:14,172,176,10:07,9:35,7,--,0.92,0,0,0,0,0,0:00,0,0:00,No,04:55.7,2,0,0:15:14,0:15:14,39,46
Running,4/29/19 15:56,FALSE,Running,2.07,194,0:20:53,170,176,10:07,8:08,243,269,0.94,0,0,0,0,0,0:00,0,0:00,No,00:42.7,3,0,0:20:43,0:20:53,108,353
Running,9/18/18 7:39,FALSE,Ossining Running,0.89,84,09:01.6,164,196,10:07,6:43,38,25,0.97,0,0,0,0,0,0:00,0,0:00,No,00:00.0,2,0,0:09:01,09:01.6,172,212
Running,9/20/18 15:56,FALSE,Ossining Running,1.13,102,0:11:22,166,192,10:05,5:38,248,220,0.96,0,0,0,0,0,0:00,0,0:00,No,00:00.0,2,0,0:11:22,0:12:15,248,326
